,premise
0,씨름은 예로부터 전해 내려오는 남자들의 대표적인 놀이로 넓고 평평한 백사장이나 마당에 소년들과 장군들이 모여 힘과 지혜를 겨룬다.
1,삼성은 자작극을 벌인 2명에 대해 형사고발 등 법적 대응을 검토하고 있다고 밝혔지만 자작극이라는 충분한 증거에도 불구하고 중국 내 여론이 좋지 않다.
2,이를 위해 예측형 범죄예방시스템이 구축되고 고도화된다.
3,광주광역시가 재개발 정비사업 원주민 종합대책을 마련하는 등 원주민 보호에 적극 나섰다.
4,소비자와 직원들의 사랑을 받는 기업으로 정말 오래 지속하고 싶다면 이런 상황에서 책임감을 보여줄 필요가 있다.
5,코오롱인더스트리는 이번 증설로 생산능력이 7만7000t에서 총 9만3800t으로 1만6800t 늘었다.
6,모두가 자신뿐만 아니라 청소년의 꿈과 남을 돕고자 하는 열정에 관심을 기울이고 있다.
7,시대적 상황을 고려하는 현명한 관람 자세가 요구된다.
8,사진과 차이가 없는 아기자기한 실내 소품과 분위기가 멋졌다.
9,"빠른 답변과 간단한 체크인, 그리고 깔끔한 집이 좋았다."
10,대부분이 걸을 수 있을 정도로 넉넉한 것이 매력이었다.
11,오후에는 소흘읍 주민들의 멋진 끼를 볼 수 있는 호수둘레길 버스킹 공연이 이어진다.
12,저는 영화의 시작부터 끝까지 긴장을 풀 수가 없어요.
13,제이콥 벡의 자살 정보가 영국에 도착한 것은 7월 16일이었다.
14,가족이 없거나 낮에 단기간 자주 방문해 야간 돌봄을 제공하는 24시간 투어 케어 서비스 도입 등이 대표적이다.
15,많은 것을 담고 있는 영화.
16,국토교통부가 올해 하반기 여객자동차 및 화물자동차 운수사업법을 개정해 연료보조금 지급 기반을 마련할 계획이다.
17,치료는 꽤 신선했다. 이단 호크는 뱀파이어입니다. 아주 멋지다
18,날로 빨라지는 우주기술의 속도를 보면 달이나 화성으로 우주관광을 떠날 날이 머지않은 것 같다.
19,소스에 코미디를 섞어서 먹는 게 달라요.
20,세비야 대성당은 5분 후에 가실 수 있습니다.
21,이 장에서는 지역 주민들의 생필품 및 의류 기부 활동이 이어졌다.
22,"아마존은 창업 초기 적자가 누적될 위험을 무릅쓰고 직구, 저가 정책, 타사 대비 빠른 배송 등의 무기로 시장을 선점했다."
23,우리 모두가 함께 노래하고 춤추는 마지막 장면은 충격적입니다.
24,"더불어민주당과 자유한국당, 바른미래당, 무소속 의원들로 구성된 경북도의회 유일의 4색상임위원회인 행정건강복지위원회에 관심이 쏠리는 이유이기도 하다."
25,라키1보다 마지막 경기 장면이 더 대단했다.
26,"이에 따라 산업지역 도시계획관리를 위해 공공주도형 체계적 관리체계를 구축하고, 지역실정에 맞는 사업화를 위한 다양한 지원제도가 도입된다."
27,이를 위해 정부가 추진하는 혁신성장 정책에 발 빠르게 대응해 새로운 먹거리를 창출하고 창업기업을 적극 발굴해 지원할 계획이다.
28,고려에서 태어나 원나라의 장군이 된 최유는 고려에 의해 포로로 잡혔다.
29,이 글의 경우 기득권층이 야니브에게 성전환 수술을 받았는지 묻지도 않고 곧바로 연락을 끊었다.
30,"경치 9곳, 아름다운 물건 9점 사진전, 홍보기념품 배포, 관광전단 살포 등을 통해 장흥군 홍보와 관광객 잡기에 나섰다."
31,잠수함사령부의 우수한 인력도 잠수함을 무리 없이 운용하는 역할을 한다.
32,사진처럼 인테리어가 매우 귀엽고 사랑스럽습니다.
33,가족 4명이 함께 생활하는 데 불편함이 없었다.
34,특히 지난해 광주를 찾은 외국인 환자 수 증가율이 전년 대비 전국에서 가장 높은 것으로 나타났다.
35,"구글 두들(Google Doodle)은 기념일, 행사, 업적, 사람을 기념하기 위해 구글의 웹사이트에서 구글의 로고를 일시적으로 바꾸는 것을 말한다."
36,칠던의 매장은 금속 주조 회사인 윈덤 맷슨과 거래한다.
37,대중교통이 열악한 농촌에 거주하는 농어민 등 취약계층의 접근성을 높이기 위한 첫 마을택시 개통식이 4일 늘목1리 하늘 아래 첫 동네에서 열렸다.
38,특히 공식 유튜브 채널에서 한국어와 영어로 제공되는 큐레이터 라이브 전시 투어 영상을 확인할 수 있다.
39,퍼셉트론(Perceptron)은 1957년 코넬 항공 연구소의 프랭크 로젠블랫이 설계한 인공 신경망의 일종이다.
40,경제청과 한국토지주택공사가 지난 주민설명회에서 약속한 3월 말까지 공식 입장을 밝히기 위해 발빠르게 움직이고 있다.
41,그의 친구들은 그녀가 문학 교사이며 학교에서 루머와 괴롭힘의 대상이 되어 왔다고 말한다.
42,나는 도미니크의 노래가 영화로 바뀔 줄 몰랐어.
43,와이파이가 잘 되면 최고의 에어비앤비입니다.
44,하지만 왠지 모르게 기분이 좋았어.
45,올해는 상반기에 두 차례에 걸쳐 80여명이 남도문화를 살펴봤다.
46,주인공 운혁과 젊은 층을 통해 시청자들이 그려내는 드라마.
47,"전남체육대회는 검도, 게이트볼, 양궁 등 22개 종목이 참가하는 대회로 오는 25일부터 사흘간 진남종합운동장에서 열린다."
48,나는 어렸을 때 강아지를 생각하며 울 뻔했어요.
49,이렇게 감동받은 건 정말 오랜만이에요.
50,"이 프로그램은 액션러닝, 실무 마케팅 및 영업 체험, 국내외 선진 현장 등 팀원 간 협력이 필요한 체험을 중심으로 구성됐다."
51,그러던 중 쇼헤이의 아내가 갑자기 늦게 귀가하자 혹시 쇼헤이가 바람을 피우는 건 아닌지 걱정돼 탐정을 고용해 쇼헤이의 주변을 조사한다.
52,눈이 와서 테라스를 이용하지 못해서 아쉬워요.
53,이 작품에는 천주교 사제들을 괴물로 묘사한 기이한 그림들이 담겼다.
54,아트 슈피겔만은 아버지 블라덱 슈피겔만과 수년간 여러 차례 인터뷰를 진행해 그의 삶을 만화로 그렸다.
55,"인근에는 상하농장, 만돌어촌 갯벌체험마을, 선운산도립공원 등이 있어 다양한 체험을 할 수 있다."
56,"유진은 가족을 거슬러 결혼해 프랑스에서 유학하던 중 남편을 잃었는데, 남편과 철민이 너무 닮았어요."
57,데미 무어와 게리 올드먼의 연기가 좋습니다.
58,최고입니다 말로 표현할 수 없을 정도로 최고예요.
59,각종 안전사고와 재난사례를 통해 안전사고 예방의 중요성을 알리고 비상상황에 대한 적절한 대응방안을 안내했다.
60,곳곳에 드러나는 색과 물건들이 영국을 대표했다.
61,"각 분야별 전문가 의견을 수렴한 뒤 보고서에 담긴 연구의 신뢰도를 확실한 동의, 중간 동의, 제한적인 동의 등 3단계로 평가했다."
62,나는 영화가 빨리 끝나는 순간만 기다렸다.
63,"그 순간, 빌은 그의 환자 루나단슨의 부고 소식을 듣고 집을 방문한다."
64,순천시는 2019년에도 소규모 공동주택에 대한 안전점검을 지속적으로 실시해 시민들의 안전을 보다 구체적으로 살펴볼 계획이다.
65,한편 이번에 공급을 시작하는 렘데시비르는 길리어드와의 계약 조건에 따라 도입이 마감된다.
66,청구는 국가공무원법에 따라 설치된 소청심사위원회가 하며 화재명령 이상의 소청은 소청심사 때 중앙고발심사위원회가 심사한다.
67,"반면 삼성그룹은 어두운 면이 있고, 경영권 불법 승계 의혹 등 부정적인 시각도 있다."
68,잔인한 특수효과 없이 공포와 스릴러의 정도를 보여준다.
69,압도적인 무게감을 지닌 강하고 불행한 인력거꾼의 삶을 편집해야 하는 슬픈 영화입니다.
70,일본의 한 매체는 21일 아베 신조 자민당 총재가 박근혜 당선인 특사를 파견해 친서를 전달할 예정이라고 전했다.
71,한편 농림축산식품부는 설 명절을 앞두고 국민들에게 축산농가 방문을 자제해 줄 것을 당부했다.
72,그는 매우 친절하고 반응이 빠릅니다.
73,"릴카는 게임, 축구, 프랑스어와 같은 다양한 콘텐츠로 시청자들과 소통합니다."
74,국립공원 내 다중이용시설이 검역과 운영여건을 고려해 23일부터 운영을 재개한다.
75,"바흐의 무반주 소나타와 파르티타가 연주되며, 뛰어난 기교와 충실한 해석으로 관객들에게 최고의 바흐를 선사할 예정이다."
76,"특히 지난해 사망자 6명은 등교 전 3명, 저학년 2명, 고학년 1명으로 모두 보행 중 숨진 것으로 조사됐다."
77,"다만 현재 생계급여, 실업급여, 긴급고용안정지원금 등 다른 법률에 따라 지원을 받고 있는 경우에는 지원 대상에서 제외된다."
78,1964년 1차 인민혁명당 사건으로 유죄 판결을 받았던 관련자들이 48년 만에 재심에서 무죄를 선고받았다.
79,연구현장의 의견을 반영하기 위해 자체관리시스템을 마련하고 재료이용자의 실비부담 원칙을 통해 재료은행 운영 안정성을 강화한다.
